Home_Goals,Away_Goals,Home_Pos,Away_Pos,Home_Shots,Away_Shots,Home_Shots_On,Away_Shots_On,Home_Fouls,Away_Fouls,Home_Off,Away_Off,Home_Corners,Away_Corners
3,1,53,47,11,16,5,4,14,15,2,1,8,7
5,1,70,30,19,2,11,2,10,12,1,2,8,2
0,2,52,48,6,16,4,4,5,8,5,0,3,1
1,0,36,64,10,13,3,4,12,15,2,2,0,10
2,0,36,64,8,11,4,4,11,7,3,1,8,7
3,0,57,43,20,8,8,1,11,11,1,3,8,7
4,1,45,55,21,7,8,3,11,8,1,1,6,2
5,1,58,42,15,10,7,2,8,8,1,3,4,6
2,0,74,26,16,4,7,0,5,19,4,0,5,2
1,1,29,71,8,20,3,7,9,6,1,0,3,13
1,1,54,46,20,12,6,8,11,8,4,3,5,6
2,3,39,61,9,13,3,5,12,10,1,2,5,7
2,1,57,43,15,13,8,4,14,19,2,6,8,1
1,1,60,40,13,3,5,1,9,8,5,0,3,3
2,2,34,66,9,13,3,6,15,9,2,2,3,7
3,1,54,46,21,4,5,1,11,7,3,3,4,1
2,0,53,47,22,6,6,3,10,13,1,9,6,3
0,0,48,52,11,11,4,2,12,12,5,0,2,6
3,0,74,26,19,3,10,1,10,10,0,0,9,1
0,3,66,34,21,11,5,5,5,12,4,2,8,5
1,1,66,34,18,9,3,2,8,10,0,4,7,2
1,1,52,48,14,11,4,2,15,15,2,0,7,4
2,1,44,56,9,8,4,2,10,10,3,0,5,5
3,1,26,74,12,9,4,4,4,8,0,3,4,3
1,1,40,60,8,9,3,3,11,15,2,0,5,3
0,3,25,75,5,14,1,7,8,8,3,2,1,4
1,1,48,52,12,8,4,3,8,7,5,5,6,3
0,4,42,58,10,14,3,10,12,5,4,0,5,3
4,1,63,37,16,9,10,5,6,8,3,1,5,10
2,0,48,52,11,6,6,3,18,13,10,0,3,2
1,0,28,72,3,21,2,4,5,9,1,1,3,9
0,1,48,52,14,12,3,2,7,13,1,2,5,4
3,1,80,20,21,6,9,4,5,10,4,2,18,0
1,1,41,59,10,17,4,2,8,15,2,1,2,9
2,0,53,47,9,11,5,3,11,10,5,3,4,5
1,1,57,43,9,15,4,5,15,10,0,0,0,3
2,1,40,60,13,12,5,3,8,10,0,4,4,5
2,0,44,56,15,13,4,1,8,15,3,2,10,6
1,0,44,56,17,8,2,2,16,10,0,4,3,2
4,0,61,39,20,7,10,0,11,15,2,7,3,3
0,0,55,45,17,14,7,1,14,13,5,3,6,3
4,3,36,64,16,11,7,4,10,7,3,3,5,6
2,2,56,44,16,10,4,4,11,13,0,3,5,4
3,0,60,40,20,11,9,5,14,10,4,0,6,1
1,1,42,58,12,8,4,5,11,10,2,0,4,5
1,4,65,35,8,8,2,6,7,9,0,5,7,3
2,2,49,51,15,26,6,8,13,9,1,0,5,12
2,2,58,42,14,19,6,6,11,11,2,3,10,8
1,2,61,39,10,11,3,4,8,11,1,0,4,7
3,0,51,49,11,6,5,1,7,9,4,1,4,1
1,2,42,58,13,19,4,5,4,12,1,2,3,9
0,2,40,60,12,21,0,6,11,10,1,1,6,6
0,1,59,41,11,14,4,6,10,11,2,0,10,5
0,2,32,68,8,12,1,5,12,9,4,2,6,5
3,1,77,23,18,7,7,4,8,12,1,3,9,1
2,1,53,47,13,12,5,3,12,12,1,1,3,4
1,1,35,65,14,14,3,4,14,9,1,2,5,6
0,0,45,55,11,10,2,3,11,10,1,2,3,6
0,0,57,43,3,11,1,4,14,14,0,3,5,4
2,1,47,53,18,6,7,1,8,13,0,5,4,4
2,1,61,39,18,7,6,1,7,3,4,3,7,1
0,0,25,75,10,15,2,4,14,11,4,2,7,8
0,0,54,46,15,8,3,3,12,13,1,2,10,7
5,0,58,42,21,1,12,1,5,10,3,2,7,0
1,2,51,49,9,9,4,4,14,13,3,2,1,8
1,1,71,29,31,3,8,1,10,6,3,3,7,1
2,3,35,65,16,16,2,9,12,7,1,3,5,4
2,0,67,33,25,8,8,1,8,8,2,2,13,1
2,2,71,29,24,3,6,2,10,14,0,1,12,2
0,0,53,47,17,7,3,3,14,13,1,1,10,2
2,1,50,50,11,11,1,5,7,13,4,6,8,8
0,1,22,78,6,22,2,6,11,6,4,4,3,8
5,2,57,43,16,16,7,6,8,15,1,1,3,8
1,1,58,42,18,15,7,7,9,12,2,2,8,5
5,0,55,45,22,7,9,4,5,8,3,0,4,2
3,3,56,44,25,10,10,5,12,14,0,2,7,4
4,0,79,21,14,5,5,1,8,7,4,2,4,6
0,0,32,68,5,25,0,8,8,4,2,4,2,7
1,1,64,36,7,13,2,5,13,11,1,1,6,3
1,1,53,47,12,10,6,2,16,9,3,4,9,1
3,3,53,47,11,14,4,9,9,11,3,1,7,8
2,2,50,50,11,19,3,6,19,8,0,5,4,6
2,3,63,37,19,11,6,4,9,12,4,0,6,3
0,3,40,60,5,18,2,8,10,10,5,1,4,4
1,0,52,48,14,12,3,1,8,11,6,0,6,4
3,1,44,56,9,17,5,7,9,11,0,2,1,11
0,0,58,42,12,11,2,7,13,13,2,2,8,2
0,3,56,44,11,13,2,6,12,13,0,0,6,4
1,4,59,41,13,15,3,9,12,17,3,3,8,7
0,4,44,56,6,21,2,7,5,10,2,4,2,3
1,2,43,57,12,8,5,3,14,7,1,1,6,3
1,0,71,29,23,10,5,2,13,9,1,2,7,5
1,0,54,46,24,6,8,2,8,16,3,2,8,4
3,1,51,49,12,8,7,3,12,12,1,0,6,3
4,1,53,47,20,7,11,2,13,20,4,2,5,1
0,3,55,45,17,14,0,7,12,13,0,1,7,9
2,0,75,25,25,7,8,4,5,10,3,1,10,2
0,0,70,30,14,6,5,1,16,6,1,4,5,7
0,1,55,45,16,7,4,4,10,11,2,3,4,1
1,4,53,47,11,16,4,11,13,9,3,1,9,9
1,0,56,44,9,14,2,7,14,12,2,0,4,9
2,1,54,46,14,7,4,2,14,18,3,0,4,6
0,0,30,70,6,22,0,3,9,9,4,0,1,7
1,3,36,64,7,12,2,5,11,4,2,10,1,3
0,4,21,79,7,23,3,10,12,6,2,1,2,5
1,0,51,49,10,14,2,7,6,14,4,2,6,4
1,1,33,67,6,11,3,6,12,10,4,1,4,5
2,2,45,55,24,11,8,5,14,14,5,3,6,3
2,0,58,42,19,7,6,2,6,10,1,5,8,1
1,0,31,69,5,19,2,2,10,10,3,2,4,3
1,1,79,21,23,3,3,2,8,11,1,0,12,1
2,3,38,62,10,13,4,5,10,8,1,2,6,5
1,2,35,65,8,14,5,7,16,10,4,0,2,8
